score,prev_scores,ranking
0.5,"0.45,0.50,0.52,0.53,0.54",5
0.7,"0.72,0.73,0.71,0.70,0.69",7
0.32,"0.33,0.34,0.31,0.32,0.32",3
0.9,"0.90,0.90,0.90,0.90,0.90",9
0.25,"0.30,0.28,0.26,0.25,0.23",2
0.83,"0.81,0.82,0.83,0.83,0.84",8
0.55,"0.58,0.57,0.56,0.55,0.54",5
0.45,"0.43,0.44,0.45,0.46,0.47",5
0.6,"0.60,0.60,0.60,0.60,0.60",6
0.2,"0.18,0.19,0.20,0.21,0.22",2
0.72,"0.71,0.73,0.70,0.72,0.74",7
0.1,"0.10,0.10,0.10,0.10,0.10",1
0.15,"0.12,0.13,0.14,0.15,0.15",2
0.75,"0.75,0.75,0.75",7
0.50,"0.48,0.49,0.50,0.51,0.52",5
0.65,"0.65,0.64",6
0.30,"0.30",3
0.80,"0.78,0.79,0.80,0.81,0.82",8
0.58,"0.59,0.58,0.57,0.56,0.55",6
0.40,"0.40,0.40,0.41,0.41,0.42",4
0.85,"0.85,0.86,0.85,0.86",9
0.22,"0.22",2
0.35,"",3
0.48,"0.45,0.48",4
0.77,"",7
0.16,"0.12,0.13,0.14,0.15,0.15,0.16",3
0.60,"",6
0.68,"0.72,0.73,0.71,0.70,0.69,0.68",7
0.44,"",4
0.74,"0.75,0.75,0.75,0.74",7
0.85,"",8
0.33,"0.33,0.34,0.31,0.32,0.32,0.33",4
0.1,"0.10,0.5,0.5,0,0", 1
0.55,"0.50,0.52,0.54",5
0.70,"0.75,0.73,0.71",7
0.35,"0.35,0.36,0.34",3
0.90,"0.90,0.91,0.90",9
0.25,"0.27,0.26",2
0.85,"0.84,0.85,0.86",8
0.60,"0.60",6
0.48,"",4
0.77,"0.76,0.77,0.78",8
0.40,"0.42,0.41",4
0.65,"0.65",6
0.30,"",3
0.80,"0.80,0.81,0.82",8
0.58,"0.60,0.59",6
0.45,"0.45",4
0.85,"",8
0.35,"0.35,0.36,0.37",4
0.22,"0.23,0.22",2
0.60,"0.60",6
0.44,"",4
0.75,"0.75,0.76,0.77",8
0.50,"0.52,0.51",5
0.65,"0.65",6
0.45,"0.45,0.45,0.45,0.45,0.45",5
0.75,"0.72,0.73,0.75,0.77,0.78",7
0.20,"0.25,0.22,0.21,0.20,0.19",2
0.90,"0.92,0.91,0.90,0.89,0.88",9
0.62,"0.62,0.62,0.62,0.62,0.62",6
0.38,"0.40,0.38,0.37,0.38,0.39",4
0.80,"0.79,0.80,0.81,0.82,0.83",8
0.55,"0.55,0.55,0.55,0.55,0.55",5
0.70,"0.70,0.71,0.72,0.73,0.74",7
0.32,"0.32,0.31,0.30,0.29,0.28",3
0.68,"0.70,0.69,0.68,0.67,0.66",7
0.15,"0.12,0.13,0.14,0.15,0.16",2
0.78,"0.78,0.78,0.79,0.80,0.80",8
0.42,"0.41,0.43,0.44,0.42,0.41",4
0.63,"0.63,0.64,0.65,0.64,0.63",6
0.25,"0.26,0.25,0.24,0.25,0.26",3
0.87,"0.88,0.87,0.86,0.87,0.88",9
0.49,"0.50,0.49,0.48,0.47,0.48",5
0.58,"0.59,0.58,0.57,0.58,0.59",6
0.35,"0.35,0.36,0.34,0.35,0.36",4
0.85,"0.84,0.86,0.85,0.86,0.84",8
0.22,"0.21,0.22,0.23,0.22,0.21",2
0.44,"0.44,0.43,0.44,0.45,0.46",5
0.77,"0.77,0.76,0.77,0.78,0.77",7
0.59,"0.60,0.59,0.58,0.60,0.59",6
0.38,"0.38,0.39,0.40,0.38,0.39",4
0.65,"0.66,0.64,0.65,0.66,0.64",6
0.32,"0.33,0.32,0.32,0.31,0.32",3
0.68,"0.68,0.68,0.69,0.69,0.68",7
0.16,"0.15,0.16,0.15,0.16,0.15",2
1,"1, 1, 1",10
1,"1, 0.9, 0.8, 0.7, 0.6",8
1,"0.5, 0.5, 0.5, 0.5, 0.5",6
1,"0.1, 0.1, 0.1, 0.1, 0.1",2
0.2,"1, 0.2, 0.8, 0.2, 0.5",4
0.7,"1, 0.8, 0.7, 0.6, 0.5",6
1,"0.9, 0.9, 0.9, 0.9, 0.9",10
0.9,"0.4, 0.5, 0.6, 0.7, 0.8",8
0.5,"0.5, 0.6, 0.7, 0.8, 0.9",6
0.3,"0.3, 0.3, 0.3, 0.3, 0.3",4
0.1,"0.9, 0.8, 0.7, 0.6, 0.5",4
0.6,"0.1, 0.2, 0.3, 0.4, 0.5",5
0.8,"0.2, 0.4, 0.6, 0.8, 1",7
1,"0.1, 0.3, 0.4, 0.5",7
0.5,"0.5, 0.5, 0.5, 0.5, 0.5",5
0.4,"0.8, 0.7, 0.6, 0.5, 0.4",5

